"id","outcome","sample","model","n","term","est","se","lo","hi","p","note"
"S12","ami","Straight-line distance from population-weighted centroid (Census 2010)","weighted SEM",2305,"exposure per 0.281",-0.0919219528725302,0.0754326125632122,-0.239769873496426,0.0559259677513658,0.222997200843536,""
"S22","asthma","Street-network distance from population-weighted centroid to the single nearest park","WLS (ZIP-clustered)",2305,"exposure per 0.385",1.57461314295919,0.824915825823146,-0.0492616863925234,3.19848797231091,0.0573153764336794,""
"S22","asthma","Street-network distance from population-weighted centroid to the single nearest park","weighted SEM",2305,"exposure per 0.385",-0.639960071707272,0.280069134592001,-1.18889557550759,-0.0910245679069496,0.0223123882762329,""
"S22","ami","Street-network distance from population-weighted centroid to the single nearest park","WLS (ZIP-clustered)",2305,"exposure per 0.385",0.257492825559143,0.132263953344931,-0.00287326022065523,0.517858911338942,0.0525645160173513,""
"S22","ami","Street-network distance from population-weighted centroid to the single nearest park","weighted SEM",2305,"exposure per 0.385",-0.0867160918122461,0.0588886894184483,-0.202137923072405,0.0287057394479125,0.140874467160375,""
"S25","asthma","Street-network distance to three nearest open-access parks (Restricted and Unknown access excluded)","WLS (ZIP-clustered)",2305,"exposure per 0.415",1.56665742830488,0.978331565802662,-0.35922149744117,3.49253635405093,0.110433701232619,""
"S25","asthma","Street-network distance to three nearest open-access parks (Restricted and Unknown access excluded)","weighted SEM",2305,"exposure per 0.415",-0.896036521995543,0.323580392407867,-1.53025409111496,-0.261818952876123,0.00562060171030348,""
"S25","ami","Street-network distance to three nearest open-access parks (Restricted and Unknown access excluded)","WLS (ZIP-clustered)",2305,"exposure per 0.415",0.405559501242979,0.153741242341983,0.102914642389304,0.708204360096653,0.0088111369089365,""
"S25","ami","Street-network distance to three nearest open-access parks (Restricted and Unknown access excluded)","weighted SEM",2305,"exposure per 0.415",-0.102606562020763,0.0679864707259983,-0.23586004464372,0.0306469206021939,0.131242493138942,""
"S26","asthma","Street-network distance to three nearest parks with overlapping polygons merged","WLS (ZIP-clustered)",2305,"exposure per 0.38",0.850122102051378,0.844509279887524,-0.812323107306629,2.51256731140938,0.314980171019459,""
"S26","asthma","Street-network distance to three nearest parks with overlapping polygons merged","weighted SEM",2305,"exposure per 0.38",-1.00020111477926,0.293005349985902,-1.57449160075162,-0.425910628806889,0.000641121901530624,""
"S26","ami","Street-network distance to three nearest parks with overlapping polygons merged","WLS (ZIP-clustered)",2305,"exposure per 0.38",0.232748873378081,0.132137906947993,-0.0273690857869647,0.492866832543128,0.0792684754048103,""
"S26","ami","Street-network distance to three nearest parks with overlapping polygons merged","weighted SEM",2305,"exposure per 0.38",-0.132858337573906,0.0613300198101224,-0.253065176401746,-0.0126514987460664,0.0302893708928848,""
"S13","asthma","Straight-line distance from geographic centroid to the single nearest park","WLS (ZIP-clustered)",2305,"exposure per 0.282",2.4027890391315,0.90239277340265,0.62639820621807,4.17917987204493,0.00820375511487986,""
"S13","asthma","Straight-line distance from geographic centroid to the single nearest park","weighted SEM",2305,"exposure per 0.282",-0.74924030891044,0.297461275100585,-1.33226440810759,-0.166216209713293,0.0117761312931517,""
"S13","ami","Straight-line distance from geographic centroid to the single nearest park","WLS (ZIP-clustered)",2305,"exposure per 0.282",0.400657481994436,0.140607095373268,0.123867637676603,0.67744732631227,0.00470652582910961,""
"S13","ami","Straight-line distance from geographic centroid to the single nearest park","weighted SEM",2305,"exposure per 0.282",-0.0682263477586784,0.0623832733411541,-0.19049756350734,0.0540448679899838,0.274102315948724,""
"S14","asthma","Park acres within 0.5 mile (more acres = better access)","WLS (ZIP-clustered)",2305,"exposure per 18.3",-0.710441782155142,0.205312531759045,-1.11460647634234,-0.306277087967948,0.000624342326680257,""
"S14","asthma","Park acres within 0.5 mile (more acres = better access)","weighted SEM",2305,"exposure per 18.3",-0.11261483367671,0.0865326129982046,-0.282218755153191,0.0569890877997707,0.19311646915202,""
"S14","ami","Park acres within 0.5 mile (more acres = better access)","WLS (ZIP-clustered)",2305,"exposure per 18.3",-0.117991959718585,0.0331717866514974,-0.183291748741593,-0.0526921706955769,0.00044084095053701,""
"S14","ami","Park acres within 0.5 mile (more acres = better access)","weighted SEM",2305,"exposure per 18.3",-0.048211529735423,0.0182050945906189,-0.0838935151330361,-0.0125295443378099,0.00809111401383296,""
"S15","asthma","Park acres within 1 mile (more acres = better access)","WLS (ZIP-clustered)",2305,"exposure per 87.8",-1.25973719478244,0.330311289046569,-1.909966189478,-0.609508200086882,0.000168628017657779,""
"S15","asthma","Park acres within 1 mile (more acres = better access)","weighted SEM",2305,"exposure per 87.8",-0.0928143810204085,0.144974032623542,-0.376963484962551,0.191334722921734,0.522033591228566,""
