"geoid_2010","zip","population","network_dist_3parks_miles","mean_dist_3parks_miles","asthma_ed_per10k","ami_ed_per10k","pm25_ug_m3","ozone_ppm","poverty_pct_below_2x_fpl","ozone_ppm_ces3_2012_2014","land_area_sq_mi","in_primary","within_1p25mi"
"06037920017","91350",4309,0.740332085619979,0.419766626666667,30.9,13.62,9.82382783,0.06464682,13.6,0.065,0.801813232011324,1,1
"06037551401","90241",4582,0.613564905949256,0.351943563333333,38.02,15.58,12.01107836,0.04588368,32.2,0.044,0.28552838201292,1,1
"06037310900","91506",6071,0.728934895211962,0.561849743333333,32.39,9.99,11.70635152,0.05938691,14.7,0.055,0.836753137692976,1,1
"06037551102","90242",5427,0.756412550703889,0.48696501,33.3,13.74,12.17927262,0.04632538,41.1,0.044,0.650532771422646,1,1
"06037311200","91505",3171,0.591549724608288,0.448766216666667,34.83,10.87,11.53890555,0.05938691,14.3,0.055,0.383489414845615,1,1
"06037551101","90242",3964,0.462202611747395,0.34799896,40.76,16.66,12.05025593,0.04539285,48.8,0.044,0.650388351238416,1,1
"06037311500","91505",5828,0.314136691720353,0.25108299,33.25,10.5,11.65548553,0.05763123,18.1,0.055,0.578218512852555,1,1
"06037550902","90241",5803,1.11070162749543,0.9357021,33,13.44,12.15631505,0.04676708,31.9,0.046,0.375720773093433,1,1
"06037311400","91505",2300,0.583818624234471,0.561692306666667,35.08,10.98,11.51300398,0.05763123,9.7,0.053,0.36217592467326,1,1
"06037550901","90241",4141,1.19213977869244,1.09244674,52.31,21.72,12.17044162,0.04632538,35.9,0.046,0.431010777423994,1,1
"06037800325","91361",3573,0.817337374731568,0.43053449,16.99,9.38,9.408842934,0.05022962,5,0.051,0.891878650624385,1,1
"06037262704","90272",3561,0.492212976218882,0.16263555,12.64,8.33,11.36879135,0.05022962,12.1,0.048,0.70760232781532,1,1
"06037238000","90047",6174,0.394694981309155,0.247127536666667,137.3,19.44,12.02803671,0.04320513,34.2,0.046,0.642879260472744,1,1
"06037240401","90044",6379,0.405963547880379,0.29701651,81.21,17.28,12.08962673,0.04320513,54.9,0.044,0.266804196864054,1,1
"06037240500","90003",7326,0.750451736856756,0.601003133333333,113.88,27.88,12.0998549,0.0438112,63.7,0.044,0.314357908935343,1,1
"06037237102","90044",3407,0.627988795434662,0.474937116666667,74.12,16.15,11.97286678,0.04435661,62.8,0.046,0.177389348129478,1,1
"06037240900","90059",6736,0.861915165433866,0.658828593333333,108.79,21.37,12.09235616,0.04320513,57.9,0.044,0.413341199103034,1,1
"06037211704","90020",2796,1.01752142487871,0.812161656666667,29.89,8.91,12.02897507,0.04716458,38.8,0.048,0.0709952881497977,1,1
"06037240800","90002",4341,0.740583740952835,0.55510617,79.65,18.29,12.05760637,0.0438112,55.9,0.044,0.246936426790778,1,1
"06037211122","90004",3163,0.778345711047483,0.435055156666667,33.16,8.97,12.12349272,0.04791979,56.5,0.048,0.140180647935484,1,1
"06037125600","91601",2811,1.11554583731011,0.93337083,31.66,8.31,11.66912326,0.05763123,20.7,0.053,0.394467063333353,1,1
"06037207103","90012",2393,0.331182146265808,0.185902903333333,30.75,10.73,12.87564539,0.04863521,61.9,0.046,0.125212056531796,1,1
"06037262200","90077",4405,2.71320364073809,0.673821826666667,8.53,4.57,11.4065172,0.05352109,3.2,0.05,3.30704136945633,1,1
"06037194101","90046",3277,0.528763893859858,0.040620646666667,15.98,7.15,11.55801526,0.05168937,25.8,0.051,0.982508290796748,1,1
"06037242100","90002",2852,0.422511905472043,0.24640579,103.63,25.73,12.06544894,0.04435661,91.2,0.044,0.105613508578231,1,1
"06037192001","90046",2370,0.427976865107771,0.41449761,26.2,11.81,11.89127311,0.04901945,22.7,0.048,0.204921684451285,1,1
"06037241110","90061",3356,0.850659647657679,0.60222462,128.21,21.69,12.09491005,0.04320513,56.6,0.044,0.187884303209794,1,1
"06037190202","90028",3225,0.292614879106021,0.2082073,34.99,8.61,11.98642408,0.05067132,47.1,0.05,0.0819305095377446,1,1
"06037241300","90044",2480,0.714914275630319,0.497133253333333,88.19,15.93,12.09974001,0.04259906,50.3,0.044,0.201857405310251,1,1
"06037189903","90046",2089,0.432390464686232,0.27147388,27.24,13.36,11.7676418,0.05067132,23.7,0.05,0.0325868799496149,1,1
"06037241120","90061",5146,0.828328809751054,0.601460866666667,125.21,21.82,12.0881206,0.04320513,61.9,0.044,0.255264619015181,1,1
"06037143604","91604",3720,0.669120461504812,0.195172683333333,26.16,12.45,11.53404464,0.05530288,21.5,0.053,0.217102773906171,1,1
"06037241400","90061",3785,0.749774442257218,0.575885616666667,144.54,22.26,12.11292708,0.04259906,60.2,0.044,0.2201505222829,1,1
"06037141101","91423",4674,1.28128417541557,0.978568066666667,31.83,17.1,11.59809285,0.05763123,17.8,0.053,0.293885133066885,1,1
"06037242000","90002",4189,0.394947258013203,0.233502973333333,85.34,19.41,12.0688233,0.0438112,64.3,0.044,0.249051419717521,1,1
"06037534803","90255",4589,0.754805684800763,0.557360823333333,53.05,20.98,12.06379023,0.04539285,49,0.046,0.235266539476121,1,1
"06037464000","91106",5623,0.756133555038575,0.564112353333333,20.98,7.14,10.81196096,0.05605125,18.5,0.051,1.21384659833825,1,1
"06037533902","90201",4049,0.337685417163764,0.258733,47.15,20.35,12.00080859,0.04716458,58.8,0.046,0.295209134311817,1,1
"06037464100","91108",7121,0.520016851586733,0.235935106666667,10.66,5.06,10.96820491,0.05685511,11.8,0.053,2.42335829563712,1,1
"06037534802","90255",3136,0.714030685794957,0.54472232,60.74,24.24,12.06379023,0.04539285,49.8,0.046,0.155835652590699,1,1
"06037191710","90038",2937,0.679417824902569,0.562223236666667,25.4,6.64,11.8825333,0.04863521,56,0.048,0.273560129617738,1,1
"06037534406","90201",5027,0.364097421061004,0.285786956666667,54.25,23.93,12.03639575,0.04632538,64,0.046,0.1503663276404,1,1
"06037191203","90029",2383,0.618725393700787,0.441315793333333,37.29,11.6,12.01277774,0.04899293,55.3,0.048,0.0791205805323176,1,1
"06037534405","90201",4351,0.582163912749543,0.39826915,54.25,23.93,12.03133345,0.04632538,67.7,0.046,0.205526487208854,1,1
"06037533703","90270",5259,0.341024665950847,0.266298046666667,51.32,19.05,12.07819852,0.04716458,42.8,0.046,0.328649124709302,1,1
"06037930200","91342",461,0.609911864710093,2.41945094,31.56,7.57,10.20564245,0.06727674,34.7,0.055,117.854901830418,1,0
"06037533403","90270",2848,0.481258202099738,0.440433043333333,47.78,18.57,12.12538715,0.04716458,40.3,0.046,0.182665658442347,1,1
"06037910202","93551",5823,1.69266670146345,1.42413605,45.11,12.9,6.980416541,0.06236471,15.5,0.062,7.85098607390904,1,0
"06037533402","90270",4240,0.382915647617911,0.301000826666667,52.72,20.45,12.11512207,0.04676708,60.9,0.046,0.18823492362519,1,1
"06037481711","91755",4246,0.566854569315199,0.43773931,17.76,4.93,12.00233411,0.05334987,45.9,0.048,0.17261229279736,1,1
"06037533300","90270",3346,0.418353068082399,0.282376343333333,45.55,14.2,12.10196267,0.04676708,63.8,0.046,0.13420151976412,1,1
"06037480600","91030",8038,0.197396578978764,0.14411027,20.42,6.75,11.3985122,0.05462941,17.9,0.051,0.907348192965256,1,1
"06037310100","91501",5644,0.565166925157083,0.05764417,27.78,8.42,11.41365521,0.06037951,13.4,0.055,5.09625093819446,1,1
"06037480302","91801",4672,0.303955524735544,0.20324262,34.22,9.98,11.62302761,0.05530288,31.4,0.051,0.406402090529288,1,1
"06037113422","91306",6306,1.09053440408017,0.924661096666667,60.84,15.03,11.77891599,0.06236471,33.1,0.057,0.59069752379288,1,1
"06037504001","90638",5860,1.01287791795912,0.327178976666667,37.42,16.37,12.02293829,0.04791979,28.1,0.046,0.534576693307677,1,1
"06037503602","90638",4212,0.489263948540523,0.228758403333333,30.79,13.09,11.90288337,0.0482775,11.1,0.046,1.27287776214926,1,1
"06037532200","90640",7363,1.02542029547443,0.846771336666667,45.38,14.31,12.21276924,0.04863521,51.8,0.046,1.08446358804327,1,1
"06037502302","90606",2970,0.4927318211644,0.313028226666667,50.6,18.83,12.08570107,0.04939042,47.5,0.046,0.289891325450911,1,1
"06037503701","90604",4840,0.601125054680665,0.376750446666667,45.28,17.31,11.92158802,0.04863521,26.7,0.046,0.445417160513528,1,1
"06037502700","90670",6919,0.180093255388531,0.58830847,55.19,20.43,12.06509568,0.0486551,18.6,0.046,2.6915718786987,1,1
"06037500900","90660",6363,0.609948525610435,0.426961413333333,59.16,20.72,12.01105817,0.05022962,36.9,0.046,0.549954708691694,1,1
"06037502402","90660",3874,0.974266533444683,0.48592868,60.9,21.31,12.13665654,0.04863521,24.5,0.046,0.338866772666381,1,1
"06037432202","91770",4471,0.388338975383759,0.279746583333333,35.75,9.96,11.82809251,0.05605125,38.6,0.05,0.533821917522239,1,1
"06037543321","90747",5446,1.03684855444206,0.841826,39.69,9.71,12.14345371,0.04125212,20,0.042,1.88274868676907,1,1
"06037500800","90660",5362,0.76659433905989,0.475735446666667,57.45,20.14,12.08826952,0.04939042,28.4,0.046,0.74113858918835,1,1
"06037541500","90222",6273,0.74034327030144,0.560810986666667,131.07,22.67,12.09745122,0.04320513,57.5,0.044,0.313729636863082,1,1
"06037500700","90660",7150,0.526608978565179,0.42809876,57.61,20.1,12.10709178,0.04981739,30.1,0.046,1.25524755788551,1,1
"06037550300","90650",8421,0.580647145669291,0.279700136666667,46.47,18.06,12.11184692,0.04632538,25.1,0.046,0.978087464073339,1,1
"06037543322","90746",7959,0.584504618030701,0.466570096666667,91.64,16.34,12.1614803,0.04125212,10.6,0.042,0.759076507957405,1,1
"06037542401","90221",4735,0.817824529746282,0.586310816666667,95.67,24.68,12.15347903,0.04259906,54.8,0.044,0.498525342898196,1,1
"06037543602","90502",7864,0.804457592658872,0.593687766666667,49.6,11.14,11.93305662,0.03975537,20.1,0.042,0.624276335264721,1,1
"06037543702","90745",6637,0.792567033524219,0.547971503333333,67.35,18.5,11.93567842,0.03975537,31.3,0.042,0.505491624353442,1,1
