"id","label","outcome","n","scale","ols_est","ols_lo","ols_hi","ols_p","r2","partial_r2","std_beta","sem_est","sem_lo","sem_hi","sem_p","lambda","pov_ols","pov_ols_p","pov_sem","pov_sem_p","note"
"S12","Straight-line distance from population-weighted centroid (Census 2010)","ami",2305,0.281025355128725,0.550878409548806,0.196202648789061,0.90555417030855,0.00244925773077654,0.292751192315299,0.0138864620193879,0.111116739050295,-0.0919219528725302,-0.239769873496426,0.0559259677513658,0.222997200843536,0.83520895791014,0.133186086850371,9.09112384335546e-22,0.0319968848062545,1.75120806744644e-10,""
"S22","Street-network distance from population-weighted centroid to the single nearest park","asthma",2305,0.384741236180705,1.57461314295919,-0.0492616863925234,3.19848797231091,0.0573153764336794,0.33281550213515,0.0035319674231822,0.0524607572054398,-0.639960071707272,-1.18889557550759,-0.0910245679069496,0.0223123882762329,0.8989286077006,0.875499021764158,5.442009981887e-26,0.147193083518003,1.91701632346053e-09,""
"S22","Street-network distance from population-weighted centroid to the single nearest park","ami",2305,0.384741236180705,0.257492825559143,-0.00287326022065523,0.517858911338942,0.0525645160173513,0.285044752832194,0.0031414113083143,0.0512058966050628,-0.0867160918122461,-0.202137923072405,0.0287057394479125,0.140874467160375,0.834514716313498,0.135193421802382,2.8487101381267e-22,0.0319266133425496,1.96864968771138e-10,""
"S25","Street-network distance to three nearest open-access parks (Restricted and Unknown access excluded)","asthma",2305,0.415338175057663,1.56665742830488,-0.35922149744117,3.49253635405093,0.110433701232619,0.332778432293923,0.00347660206042033,0.0557570320758171,-0.896036521995543,-1.53025409111496,-0.261818952876123,0.00562060171030348,0.89881119245481,0.876971484820201,3.59860056751579e-26,0.147535302409849,1.67363678471588e-09,""
"S25","Street-network distance to three nearest open-access parks (Restricted and Unknown access excluded)","ami",2305,0.415338175057663,0.405559501242979,0.102914642389304,0.708204360096653,0.0088111369089365,0.288349302341663,0.00774892845476574,0.0861537817536677,-0.102606562020763,-0.23586004464372,0.0306469206021939,0.131242493138942,0.834724697152457,0.136009822912715,1.25459746268606e-22,0.0319837071166907,1.76943126817264e-10,""
"S26","Street-network distance to three nearest parks with overlapping polygons merged","asthma",2305,0.380272955937326,0.850122102051378,-0.812323107306629,2.51256731140938,0.314980171019459,0.331324335611405,0.00130484767307398,0.034332921085114,-1.00020111477926,-1.57449160075162,-0.425910628806889,0.000641121901530624,0.898768644079659,0.87453453953421,4.33281193231103e-26,0.147989677110554,1.41353795335419e-09,""
"S26","Street-network distance to three nearest parks with overlapping polygons merged","ami",2305,0.380272955937326,0.232748873378081,-0.0273690857869647,0.492866832543128,0.0792684754048103,0.285124859862625,0.00325310414729382,0.0561062438121895,-0.132858337573906,-0.253065176401746,-0.0126514987460664,0.0302893708928848,0.834778688564815,0.135432667841339,2.16521353094235e-22,0.0319575359911632,1.7436452282027e-10,""
"S13","Straight-line distance from geographic centroid to the single nearest park","asthma",2305,0.281668529961219,2.4027890391315,0.62639820621807,4.17917987204493,0.00820375511487986,0.335988798858382,0.00827141918307921,0.07906792537881,-0.74924030891044,-1.33226440810759,-0.166216209713293,0.0117761312931517,0.899451344155847,0.86639036572244,3.59202312777856e-26,0.146295669238197,2.38440645006222e-09,""
"S13","Straight-line distance from geographic centroid to the single nearest park","ami",2305,0.281668529961219,0.400657481994436,0.123867637676603,0.67744732631227,0.00470652582910961,0.288277837362725,0.00764928518572557,0.0786959021125202,-0.0682263477586784,-0.19049756350734,0.0540448679899838,0.274102315948724,0.834708808011433,0.133689277377531,6.33352624732862e-22,0.0320286218801236,1.7362244975061e-10,""
"S14","Park acres within 0.5 mile (more acres = better access)","asthma",2305,18.3055831959295,-0.710441782155142,-1.11460647634234,-0.306277087967948,0.000624342326680257,0.33536149512039,0.0073345147381667,-0.0722161563868154,-0.11261483367671,-0.282218755153191,0.0569890877997707,0.19311646915202,0.898351748193516,0.845385732732535,7.77896643926029e-26,0.150398669165333,8.22453216642316e-10,""
"S14","Park acres within 0.5 mile (more acres = better access)","ami",2305,18.3055831959295,-0.117991959718585,-0.183291748741593,-0.0526921706955769,0.00044084095053701,0.287617737718063,0.00672891149411249,-0.0715900141981599,-0.048211529735423,-0.0838935151330361,-0.0125295443378099,0.00809111401383296,0.833485373671931,0.130203793570759,6.38703494349477e-21,0.0321750524635321,1.26699761793247e-10,""
"S15","Park acres within 1 mile (more acres = better access)","asthma",2305,87.8277551279501,-1.25973719478244,-1.909966189478,-0.609508200086882,0.000168628017657779,0.338770190329882,0.0124255440110695,-0.0960382484744835,-0.0928143810204085,-0.376963484962551,0.191334722921734,0.522033591228566,0.898377164943783,0.829022406133577,1.9595687714941e-25,0.150348173317664,8.71452021655728e-10,""
"S15","Park acres within 1 mile (more acres = better access)","ami",2305,87.8277551279501,-0.201836581875318,-0.310809135837968,-0.0928640279126681,0.000317783653522047,0.290400681764788,0.0106091567064069,-0.0918455925699207,-0.0752317283327062,-0.134541487451327,-0.0159219692140858,0.0129125998279952,0.832858024014784,0.127731789695226,3.72588166366938e-20,0.0319178991019361,1.88296267467081e-10,""
"S16","Straight-line distance from geographic centroid to the 2016 county park inventory (contemporaneous with outcomes)","asthma",2305,0.292549771187078,2.69918216802255,0.417059904210254,4.98130443183485,0.0206143507462318,0.338128575814437,0.0114672658197707,0.0984015566015014,-1.01215032916008,-1.64821536735707,-0.376085290963086,0.00181535891269106,0.899884344868901,0.864994322930235,4.39988267038539e-26,0.146550464454539,2.07999084622656e-09,""
"S16","Straight-line distance from geographic centroid to the 2016 county park inventory (contemporaneous with outcomes)","ami",2305,0.292549771187078,0.486092191507375,0.126120339685858,0.846064043328892,0.00831018676107531,0.291663341714386,0.0123696772709296,0.105774888554785,-0.0909007088796839,-0.223830350122605,0.0420289323632368,0.180148341849414,0.835266855393434,0.13337724382515,9.64386941943321e-22,0.032010360200978,1.68834946023821e-10,""
"S27","Street-network distance from population-weighted centroid to three nearest parks in the 2016 county park inventory (parks, roads and outcomes in one period)","asthma",2305,0.381011144913704,1.83926149356812,0.02296209221465,3.65556089492158,0.0471925067944325,0.334064954410832,0.00539807680511802,0.0694123768455649,-0.807212082726324,-1.41488314261645,-0.199541022836194,0.00922488852560057,0.899314774282408,0.876401062541828,3.17163446632062e-26,0.146353056829487,2.33623853596043e-09,""
"S27","Street-network distance from population-weighted centroid to three nearest parks in the 2016 county park inventory (parks, roads and outcomes in one period)","ami",2305,0.381011144913704,0.372916732114276,0.0709231768246159,0.674910287403935,0.0156962048457271,0.288085253139655,0.00738076594962733,0.0840039033197294,-0.0821264646451809,-0.209444583437247,0.0451916541468849,0.206123572586948,0.834774553750476,0.135555376059316,1.73863111897734e-22,0.0319523716718791,1.92027505008241e-10,""
"S17","Share of tract within a 2016 half-mile walkshed (pedestrian network; more = better access)","asthma",2305,0.64204577229568,-5.05955090147215,-8.3476439996922,-1.7714578032521,0.00268361570449355,0.337787473855997,0.0109578157373372,-0.0929910934789926,0.71034954233202,-0.489036548764756,1.9097356334288,0.245710447852751,0.899084538935302,0.89199853856817,5.13876993077465e-27,0.148204745904657,1.62780500190252e-09,""
"S17","Share of tract within a 2016 half-mile walkshed (pedestrian network; more = better access)","ami",2305,0.64204577229568,-0.677552804202225,-1.24486270929044,-0.110242899114013,0.0194179400601488,0.287479378879025,0.00653599844457418,-0.0743304379197332,0.23796818355191,-0.0110502569556701,0.486986624059489,0.0610650020306817,0.835301198188714,0.137267788162863,4.95238328595539e-23,0.0314654598210782,3.79965392482973e-10,""
"S18","Ozone from CalEnviroScreen 3.0 (2012-2014)","asthma",2305,0.375506417521673,1.24622299124596,-0.467095568525935,2.95954155101786,0.153307224338117,0.326023871970531,0.00245588704097715,0.047343235934683,-1.02213623113882,-1.6226737942832,-0.421598667994435,0.000849963698568642,0.899663528622463,0.883247278110633,2.56432001470655e-26,0.14678114186993,1.92412241695195e-09,""
"S18","Ozone from CalEnviroScreen 3.0 (2012-2014)","ami",2305,0.375506417521673,0.274587351099823,0.0141331592337967,0.53504154296585,0.0388732638368207,0.275680785684172,0.0039466737862311,0.0622639783622146,-0.130573333778655,-0.256521600620821,-0.00462506693648822,0.042156183134991,0.837432897794567,0.136887147897835,3.90765853901061e-22,0.0318303875576916,2.12629247542395e-10,""
"S19","Ozone = mean of CalEnviroScreen 3.0 and 4.0 (brackets 2015-2017)","asthma",2305,0.375506417521673,1.51495985428612,-0.232642473862218,3.26256218243446,0.0890353048765876,0.330027771033348,0.00365885113100685,0.0575523821313333,-1.01713085192349,-1.61800314912114,-0.416258554725849,0.000907281477385828,0.899486945313963,0.878236115461975,3.13530125209987e-26,0.146635953266793,2.01615457662285e-09,""
"S19","Ozone = mean of CalEnviroScreen 3.0 and 4.0 (brackets 2015-2017)","ami",2305,0.375506417521673,0.324079025881403,0.0490844591598962,0.59907359260291,0.021070509874251,0.282413290872073,0.00555886449342248,0.0734864493003963,-0.126572106722403,-0.252644261904359,-0.000499951540447935,0.049094211279656,0.836074448847515,0.135903589429039,2.86931516711074e-22,0.0318467921677079,2.08713490934542e-10,""
