"GEOID","recorded_dist3_miles","centroid_x","centroid_y","popcentroid_x","popcentroid_y","dist3_planar","dist3_geodesic","dist1_planar","dist3_popcentroid","dist1_popcentroid","acres_0p5mi","acres_1mi","dist3_pna2016","walkshed2016_share","popcentroid_in_walkshed2016"
"06037269300",0.257562266666667,146447.028892277,-440456.276750075,146345.635705853,-440659.895051187,0.258149580313895,0.2586067975846,0,0.282047886186407,0.07190090331881,157.689411468702,188.774108054062,0.258137078575442,0.645475309759912,1
"06037269700",0.405484413333333,148928.810275444,-440870.307183642,148916.218743295,-440905.99073712,0.40582231248679,0.406738082386529,0.0425985717327808,0.391448030646669,0.0411329247794691,1.03003732399901,13.6249816853679,0.443142561078978,0.855556658045265,1
"06037269800",0.513630533333333,148042.958803038,-441359.368847244,148083.354850316,-441386.52166493,0.514957391661079,0.515770721567551,0.438954312658953,0.523009391809715,0.412141393892954,1.0936529555227,13.4032655543125,0.511785494550406,0.311426540772827,0
"06037270100",0.34196955,148130.81223021,-441879.46275911,147922.69786593,-441941.617136334,0.342067673876869,0.34184020817798,0.147804261355993,0.408609583050482,0.251622984176278,3.24803458629958,51.2979175910332,0.341828445095201,0.895059428808039,1
"06037480802",0.403543743333333,170479.033508568,-435405.082899172,170311.173155868,-435527.30738125,0.404987881603978,0.40451352667525,0.197374242520612,0.348944448537295,0.264926041395077,0.897502571997796,8.59257289082398,0.522345416864601,0.422822389481022,1
"06037480901",0.636931123333333,171619.315105569,-434835.605225906,171677.866753851,-434712.820022418,0.638490594781587,0.638118679344106,0.569545237485542,0.606809958960616,0.563928358499942,0,32.276999899393,0.638490610393978,0.050710050537902,0
"06037531302",0.495591606666667,167838.248647522,-442682.966768602,167834.610960012,-442699.189940533,0.463434454781279,0.463043923025784,0.0828291149902131,0.462647579589402,0.076615732529282,1.61051767574951,24.5139987597278,0.463434462617385,0.841435303036344,1
"06037481001",0.546832843333333,172528.782951131,-434740.387975944,172453.886804042,-434823.37782055,0.585165649273561,0.584544628814289,0.3448711021982,0.604891928900931,0.294769204499115,12.6009861340619,90.0620084221204,0.585165641568905,0.453644776054288,1
"06037481002",0.292710216666667,173555.475653602,-433886.64380769,173500.830521484,-433961.079543807,0.293142707472889,0.293066468384072,0.25405279604522,0.297706602775546,0.229439510625637,60.5997863440477,147.695034476345,0.293142711015003,0.452763295360662,0
"06037481102",0.472934136666667,175807.542847783,-433325.807695661,175683.221691489,-433259.87689385,0.47360777724852,0.472884759247843,0.40506625730246,0.486186431055671,0.347615239425891,2.90040443682367,15.7570288503027,0.473607788935411,0.559300741918816,1
"06037480803",0.436570713333333,170372.201612108,-434421.637698003,170242.428320653,-434395.029757265,0.437516476199524,0.437427505500647,0.388337264067973,0.439998398060611,0.355295471147412,1.75842960460177,20.4252629239042,0.437574370633376,0.4248632249337,0
"06037481902",0.439765483333333,170695.294952778,-437237.277145693,170703.270022906,-437338.174572016,0.440625829868965,0.440506737797412,0.24550672222424,0.422019015176904,0.265664660245179,17.2991272136658,75.7591026457844,0.440625812908719,0.688572348953221,1
"06037430502",0.166192656666667,179464.109806179,-426362.707511106,179327.111567622,-426363.003580161,0.166933750163019,0.166937309392847,0.0074301089251454,0.155349918919597,0.0887384491715388,8.26677520402821,105.385859696338,0.168071385241507,0.957409780302347,1
"06037432300",0.40372835,180496.697939613,-434675.366989152,180861.892848618,-434638.484765362,0.404139514849679,0.404057906124782,0.39018537218098,0.365228493168341,0.26444970799061,7.43040423290429,8.64470407599575,0.404139511884911,0.3457080557889,1
"06037432500",0.50176031,183982.907445024,-433703.958515072,183710.559569101,-433786.105088893,0.503076629354785,0.503142102447391,0.41322863526119,0.482578716536268,0.368818376773614,5.96185931541934,206.484790535879,0.566524433879325,0.287359763239917,0
"06037432602",0.572718673333333,184078.202839477,-435191.220285711,184045.985096319,-435221.835247473,0.573562420750129,0.574151822472335,0.250146789495152,0.568504116135317,0.268320133178927,5.94489851455605,32.8805546653538,0.573562433844694,0.0372979064635712,0
"06037432700",0.414152356666667,181394.706747905,-435860.988502575,181908.273963511,-435745.545912828,0.415756866495431,0.415717103454104,0.372429159101934,0.656574864154109,0.635805929870612,1.39961682609288,14.9594427089551,0.415756869387976,0.0799259542884761,0
"06037432801",0.30110676,180245.351598066,-435759.149310646,180140.040559273,-435864.463172306,0.301901477420066,0.301666789263184,0.269905866391549,0.294058213126774,0.258445009883525,8.98058460412244,13.99994211159,0.301901475224417,0.643642236329854,0
"06037432902",0.44644552,179039.271102368,-435604.807762144,179062.431469751,-435755.436848302,0.447678619670542,0.44712856223311,0.395996876164606,0.47661375990522,0.361767867133395,3.64483908713825,38.499320035705,0.447678643407746,0.166738486936852,0
