"ZCTA5","GEOID","POPPT","ZPOP","ZPOPPCT"
"90004","06037211202",2645,62180,4.25
"90004","06037211310",3846,62180,6.19
"90004","06037211320",3184,62180,5.12
"90004","06037211410",3095,62180,4.98
"90004","06037211420",3624,62180,5.83
"90004","06037211500",4355,62180,7
"90004","06037214100",609,62180,0.98
"90005","06037211000",10,37681,0.03
"90005","06037211120",486,37681,1.29
"90005","06037211701",70,37681,0.19
"90005","06037211704",1031,37681,2.74
"90005","06037211802",402,37681,1.07
"90005","06037212101",267,37681,0.71
"90005","06037212102",341,37681,0.9
"90005","06037212202",1947,37681,5.17
"90005","06037212203",2679,37681,7.11
"90005","06037212204",3344,37681,8.87
"90005","06037212303",3208,37681,8.51
"90005","06037212304",1702,37681,4.52
"90005","06037212305",1762,37681,4.68
"90005","06037212306",1872,37681,4.97
"90005","06037212410",3452,37681,9.16
"90005","06037212420",1774,37681,4.71
"90005","06037212501",1274,37681,3.38
"90005","06037212502",2185,37681,5.8
"90005","06037212610",3574,37681,9.48
"90005","06037212620",2804,37681,7.44
"90005","06037212701",671,37681,1.78
"90005","06037212702",2595,37681,6.89
"90005","06037216100",231,37681,0.61
"90006","06037209510",2692,59185,4.55
"90006","06037209520",1894,59185,3.2
"90006","06037209810",2472,59185,4.18
"90006","06037209820",981,59185,1.66
"90006","06037212202",1665,59185,2.81
"90006","06037212305",1103,59185,1.86
"90006","06037212306",1180,59185,1.99
"90006","06037212420",1454,59185,2.46
"90006","06037212501",891,59185,1.51
"90006","06037212502",576,59185,0.97
"90006","06037213100",335,59185,0.57
"90006","06037213201",4198,59185,7.09
"90006","06037213202",3873,59185,6.54
"90006","06037213310",3477,59185,5.87
"90006","06037213320",2481,59185,4.19
"90006","06037213401",4951,59185,8.37
"90006","06037213402",4645,59185,7.85
"90006","06037221110",3565,59185,6.02
"90006","06037221120",3373,59185,5.7
"90006","06037221210",3300,59185,5.58
"90006","06037221220",3378,59185,5.71
"90006","06037221302",1137,59185,1.92
"90006","06037221303",1631,59185,2.76
"90006","06037224310",2025,59185,3.42
"90006","06037224320",1908,59185,3.22
"90007","06037221601",3403,40920,8.32
"90007","06037221602",2816,40920,6.88
"90007","06037221710",2621,40920,6.41
"90007","06037221810",2773,40920,6.78
"90007","06037221820",3095,40920,7.56
"90007","06037221900",3664,40920,8.95
"90007","06037222100",1964,40920,4.8
"90007","06037222200",1895,40920,4.63
"90007","06037222600",5631,40920,13.76
"90007","06037222700",622,40920,1.52
"90007","06037224020",795,40920,1.94
"90007","06037224320",0,40920,0
"90007","06037224410",3135,40920,7.66
"90007","06037224420",2369,40920,5.79
"90007","06037224600",839,40920,2.05
"90007","06037224700",4856,40920,11.87
"90007","06037231100",242,40920,0.59
"90007","06037231220",200,40920,0.49
"90008","06037234000",4942,32327,15.29
"90008","06037234200",1809,32327,5.6
"90008","06037234300",4098,32327,12.68
