"GEOID","population","asthma","ami","poverty","pm25","ozone","child_10","elderly_65"
"06037127210",5838,109.5,20.82,44.3,11.99025794,0.06350576,15.42,7.86
"06037541605",4805,95.67,24.68,55.9,12.10598268,0.04320513,8.93,7.89
"06037123303",3087,67.5,18.57,44.7,11.56904887,0.06236471,10.33,11.76
"06037229100",5146,69.72,22.77,61,12.15277014,0.04539285,18.83,5.25
"06037540203",5807,67.87,18.84,59.2,12.03711727,0.04435661,14.43,4.72
"06037601401",5949,92.39,18.57,50.6,11.92992332,0.04320513,11.06,12.2
"06037127220",5045,109.67,20.85,55.1,11.80687777,0.06236471,10.37,13.91
"06037204910",3341,76.1,20.87,55.2,12.25496306,0.0482775,12.03,12.18
"06037530500",3719,66.37,15.57,47.9,12.15638623,0.05022962,9.71,14.95
"06037229420",4759,66.83,21.79,62.7,12.10765122,0.04539285,21.01,4.96
"06037241001",4197,119.22,20.85,65.2,12.10169951,0.04320513,14.39,6.5
"06037402801",4976,67.92,15.89,54.4,12.75120791,0.05763123,21.36,5.33
"06037294830",4134,76.33,21.61,58.9,11.77535951,0.03809217,15.41,6
"06037575402",4129,128.01,27.87,64.5,11.70376562,0.03975537,18.75,4.19
"06037208302",5269,45.67,10.62,64.5,12.33647073,0.04791979,13.21,8.14
"06037542601",3295,131.07,22.67,63.4,12.09830951,0.04320513,18.42,4.67
"06037553802",6881,52.77,14.89,58,12.14364358,0.04320513,17.76,10.07
"06037227020",3623,69.72,22.77,63.6,12.09940492,0.04632538,14.77,6.9
"06037433200",6246,48.95,11.33,51.4,11.99426857,0.05605125,11.08,15.15
"06037237202",4556,141.59,19.91,52.3,11.96234496,0.0438112,16.92,8.21
"06037128303",4176,74.24,19.06,65,11.84362669,0.06133785,18.94,4.74
"06037601600",4439,59.03,16.1,47.2,12.01108536,0.04259906,15.45,10.57
"06037533703",5259,51.32,19.05,42.8,12.07819852,0.04716458,14.2,8.27
"06037530700",2157,56.55,16.08,33.1,12.20229619,0.05022962,10.57,12.66
"06037432802",5077,45.36,10.54,61.4,11.89284869,0.05679963,17.18,6.95
"06037128302",5000,75.59,19.38,55.7,11.85390933,0.06133785,12.66,8.28
"06037240600",6167,91.05,22.32,61.7,12.0941273,0.0438112,19.51,8.76
"06037186401",3489,65.4,11.07,56.1,11.98082094,0.05165298,17.8,9.52
"06037127711",3588,57.11,14.41,46.5,12.08262759,0.06133785,14.99,9.89
"06037535101",7949,75.3,23.01,57.4,12.09489677,0.04490202,19.5,8.88
"06037532700",3417,72.22,22.06,68.9,12.136112,0.04539285,18.61,5.53
"06037433700",3684,65.92,16.69,46.4,12.00257511,0.05462941,13.06,15.23
"06037243000",6829,90.26,20.9,61.1,12.07407493,0.0438112,22.7,5.54
"06037534405",4351,54.25,23.93,67.7,12.03133345,0.04632538,18.69,6.64
"06037199700",3063,56.77,9.35,53.2,13.26241232,0.04939042,5.88,16
"06037232120",5567,100.68,20.14,68,11.99843255,0.04490202,21.32,8.01
"06037536102",3155,40.75,14.54,28.5,12.03321154,0.04539285,12.01,20.76
"06037570501",8042,94.42,20.48,50.5,12.25666707,0.04259906,16.03,8.75
"06037535300",6524,72.41,20.81,52.6,12.07274542,0.04490202,16.97,6.68
"06037540502",6163,63.03,17.35,66.5,12.08913112,0.0438112,19.2,4.25
"06037206010",4121,30.75,10.73,58.4,13.32985065,0.04863521,9.08,16.45
"06037291130",3626,75.78,14.63,27.6,12.11872262,0.04259906,12.93,10.51
"06037199900",2692,52.95,8.87,51.9,12.7350876,0.04939042,14,14.75
"06037541700",6638,65.97,18.28,46.9,12.06300382,0.0438112,15.43,11.63
"06037534101",2358,52.71,23.15,56.1,12.02588499,0.04716458,14.84,10.09
"06037104401",3270,81.71,13.36,43.9,11.28546472,0.06718273,16.02,11.47
"06037242300",4952,103.63,25.73,67.5,12.06896138,0.04435661,19.22,4.38
"06037109500",4832,66.35,10.62,66.1,11.23023082,0.06718273,15.09,13.16
"06037127104",3821,109.67,20.85,63.1,11.68435272,0.06350576,12.9,8.58
"06037232800",4489,50.48,12,63.8,11.99449266,0.04490202,18.4,5.73
"06037434003",4717,61.82,13.44,56.1,12.11875988,0.05605125,10.28,11.55
"06037535001",4512,80.16,24.73,64.4,12.12263212,0.04490202,20.74,6.85
"06037572900",5360,74.82,19.6,57.2,11.67703568,0.03975537,15.84,8.86
"06037530601",2930,56.8,16.64,39.8,12.13544749,0.05022962,14.23,15.26
"06037533603",6986,54.25,23.93,59.9,12.01972823,0.04632538,18.42,9.42
"06037239602",4016,113.88,27.88,78.5,12.11496733,0.04435661,17.46,3.49
"06037533902",4049,47.15,20.35,58.8,12.00080859,0.04716458,13.98,5.9
